"Comment","Designator","Footprint","JLCPCB Part #"
"1µF ","C1","CP_EIA-1608-10_AVX-L_Pad1.25x1.05mm_HandSolder",""
"1nF ","C2","C0504_1310Metric_Pad0.83x1.28mm_HandSolder",""
"1µF ","C3","CP_EIA-1608-08_AVX-J",""
"100nF ","C4","C0201_0603Metric_Pad0.64x0.40mm_HandSolder",""
"100nF ","C5","C0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"BAT43 ","D1, D2","D_0603_1608Metric",""
"ISP AVR ","J1","PinHeader_2x03_P2.54mm_Vertical_SMD",""
"USB-C connector ","J2","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",""
"bootloading ","JP1","TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",""
"5k6 ","R1","R0815_2038Metric_Pad1.20x4.05mm_HandSolder",""
"100 ","R2","R0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1k ","R3","R0612_1632Metric_Pad1.18x3.40mm_HandSolder",""
"1k ","R4","R0603_1608Metric_Pad0.98x0.95mm_HandSolder",""
"5k1 ","R5","R0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"5k1 ","R6","R0201_0603Metric_Pad0.64x0.40mm_HandSolder",""
"NE555D ","U1","SOIC-8_3.9x4.9mm_P1.27mm",""
"FT232RL ","U2","SSOP-28_5.3x10.2mm_P0.65mm",""
"ATmega328P-A ","U3","TQFP-32_7x7mm_P0.8mm",""
